the,of,is,cause
pokemon/stat/hp,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,92,
pokemon/stat/special-attack,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,80,
pokemon/stat/special-defense,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,140,
pokemon/stat/speed,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,128,
pokemon/type/0,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,fighting,
pokemon/type/1,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,steel,
pokemon/name,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,drampa,
pokemon/stat/attack,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,60,
pokemon/stat/defense,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,85,
pokemon/stat/hp,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,78,
pokemon/stat/special-attack,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,135,
pokemon/stat/special-defense,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,91,
pokemon/stat/speed,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,36,
pokemon/type/0,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,normal,
pokemon/type/1,5ErQnHfmSqF1yUm94rFyysN1dysWKb6oJZcwMYYx3dg,dragon,
pokemon/name,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,gourgeist-average,
pokemon/stat/attack,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,90,
pokemon/stat/defense,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,122,
pokemon/stat/hp,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,65,
pokemon/stat/special-attack,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,58,
pokemon/stat/special-defense,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,75,
pokemon/stat/speed,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,84,
pokemon/type/0,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,ghost,
pokemon/type/1,5KEGirsJ1RN4rEC7moujqhb64Q55cxzd3zDkVsQB9gG,grass,
pokemon/name,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,monferno,
pokemon/stat/attack,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,78,
pokemon/stat/defense,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,52,
pokemon/stat/hp,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,64,
pokemon/stat/special-attack,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,78,
pokemon/stat/special-defense,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,52,
pokemon/stat/speed,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,81,
pokemon/type/0,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,fire,
pokemon/type/1,5dvL3H5zKocSt44Gx5b3rhTue2GJ3DBYrRPJa56rofi,fighting,
pokemon/name,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,dewgong,
pokemon/stat/attack,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,70,
pokemon/stat/defense,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,80,
pokemon/stat/hp,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,90,
pokemon/stat/special-attack,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,70,
pokemon/stat/special-defense,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,95,
pokemon/stat/speed,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,70,
pokemon/type/0,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,water,
pokemon/type/1,71Lw55Zs3g68cAFVNoJ5KnB846GLPdfZFR9TWBDRXwS,ice,
pokemon/name,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,latios,
pokemon/stat/attack,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,90,
pokemon/stat/defense,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,80,
pokemon/stat/hp,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,80,
pokemon/stat/special-attack,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,130,
pokemon/stat/special-defense,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,110,
pokemon/stat/speed,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,110,
pokemon/type/0,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,dragon,
pokemon/type/1,7cghmFwrUGKQeoaFETj5UMeP5SUMAxMoXBm8g4baMA2,psychic,
pokemon/name,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,scrafty,
pokemon/stat/attack,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,90,
pokemon/stat/defense,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,115,
pokemon/stat/hp,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,65,
pokemon/stat/special-attack,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,45,
pokemon/stat/special-defense,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,115,
pokemon/stat/speed,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,58,
pokemon/type/0,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,dark,
pokemon/type/1,BVetyb8XcHCqWa246ucdDeavXLRAR8Wvp7KF7C4qgZV,fighting,
pokemon/name,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,ursaluna-bloodmoon,
pokemon/stat/attack,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,70,
pokemon/stat/defense,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,120,
pokemon/stat/hp,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,113,
pokemon/stat/special-attack,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,135,
pokemon/stat/special-defense,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,65,
pokemon/stat/speed,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,52,
pokemon/type/0,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,ground,
pokemon/type/1,C9Hpc3Vg5AXd2iE3RvB6L5EwBnzRzAdgtjzVCVmBtHE,normal,
pokemon/name,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,litwick,
pokemon/stat/attack,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,30,
pokemon/stat/defense,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,55,
pokemon/stat/hp,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,50,
pokemon/stat/special-attack,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,65,
pokemon/stat/special-defense,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,55,
pokemon/stat/speed,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,20,
pokemon/type/0,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,ghost,
pokemon/type/1,D4uFwGgcUz675eNPmmxJsMAQiwSGbRxSvtMnXst5tBg,fire,
pokemon/name,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,chinchou,
pokemon/stat/attack,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,38,
pokemon/stat/defense,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,38,
pokemon/stat/hp,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,75,
pokemon/stat/special-attack,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,56,
pokemon/stat/special-defense,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,56,
pokemon/stat/speed,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,67,
pokemon/type/0,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,water,
pokemon/type/1,EBaJphdjDCXknNWipMGYCALn3azfAheHA9AMQkCzcBW,electric,
pokemon/name,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,palafin-hero,
pokemon/stat/attack,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,160,
pokemon/stat/defense,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,97,
pokemon/stat/hp,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,100,
pokemon/stat/special-attack,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,106,
pokemon/stat/special-defense,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,87,
pokemon/stat/speed,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,100,
pokemon/type/0,EKmxdSTSBwL8Tv4vLerR7U7YWpbeJC6dXk5ivQTYoP5,water,
pokemon/name,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,oricorio-pau,
pokemon/stat/attack,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,70,
pokemon/stat/defense,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,70,
pokemon/stat/hp,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,75,
pokemon/stat/special-attack,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,98,
pokemon/stat/special-defense,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,70,
pokemon/stat/speed,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,93,
pokemon/type/0,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,psychic,
pokemon/type/1,EZfscaz9NVWY1cn4Vd2wdu9APgghyvJCeAqLetw1oEB,flying,
pokemon/name,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,magmar,
pokemon/stat/attack,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,95,
pokemon/stat/defense,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,57,
pokemon/stat/hp,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,65,
pokemon/stat/special-attack,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,100,
pokemon/stat/special-defense,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,85,
pokemon/stat/speed,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,93,
pokemon/type/0,EjuSSgXXqQje5Lu6u25wjGGStSoiRBYo9eUM2QFu3Ng,fire,
pokemon/name,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,palkia,
pokemon/stat/attack,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,120,
pokemon/stat/defense,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,100,
pokemon/stat/hp,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,90,
pokemon/stat/special-attack,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,150,
pokemon/stat/special-defense,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,120,
pokemon/stat/speed,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,100,
pokemon/type/0,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,water,
pokemon/type/1,Ep5eh2ckSSTFhSjSCWHAPP2qJhKpPveg2j2cSEEtY8E,dragon,
pokemon/name,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,kingambit,
pokemon/stat/attack,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,135,
pokemon/stat/defense,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,120,
pokemon/stat/hp,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,100,
pokemon/stat/special-attack,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,60,
pokemon/stat/special-defense,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,85,
pokemon/stat/speed,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,50,
pokemon/type/0,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,dark,
pokemon/type/1,GqyRVDoZJUDp9yVjizcbqqN8ktVwWA1j47FtWgT93Fj,steel,
pokemon/name,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,gyarados-mega,
pokemon/stat/attack,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,155,
pokemon/stat/defense,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,109,
pokemon/stat/hp,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,95,
pokemon/stat/special-attack,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,70,
pokemon/stat/special-defense,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,130,
pokemon/stat/speed,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,81,
pokemon/type/0,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,water,
pokemon/type/1,GxfJeDU8cyE6EDGA45SBYZ2aGqN1aV7idF3ikWzKumD,dark,
pokemon/name,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,mightyena,
pokemon/stat/attack,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,90,
pokemon/stat/defense,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,70,
pokemon/stat/hp,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,70,
pokemon/stat/special-attack,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,60,
pokemon/stat/special-defense,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,60,
pokemon/stat/speed,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,70,
pokemon/type/0,H6jHXwryMKS15f5v2Fuztm9N7z8cmuAc267UgCWRcRW,dark,
pokemon/name,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,rotom-wash,
pokemon/stat/attack,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,65,
pokemon/stat/defense,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,107,
pokemon/stat/hp,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,50,
pokemon/stat/special-attack,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,105,
pokemon/stat/special-defense,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,107,
pokemon/stat/speed,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,86,
pokemon/type/0,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,electric,
pokemon/type/1,HhPGXVopTnV2z7gFcfndzsodtWgf4DNo6RgDSVBREBR,water,
pokemon/name,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,azelf,
pokemon/stat/attack,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,125,
pokemon/stat/defense,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,70,
pokemon/stat/hp,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,75,
pokemon/stat/special-attack,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,125,
pokemon/stat/special-defense,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,70,
pokemon/stat/speed,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,115,
pokemon/type/0,LMUZLHNbxptTHkMEY9g5T8K43Z5Qhs4mVV7uwSmzuuD,psychic,
pokemon/name,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,naganadel,
pokemon/stat/attack,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,73,
pokemon/stat/defense,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,73,
pokemon/stat/hp,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,73,
pokemon/stat/special-attack,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,127,
pokemon/stat/special-defense,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,73,
pokemon/stat/speed,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,121,
pokemon/type/0,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,poison,
pokemon/type/1,LTpNJ8KLM3Xa9Zkn6geSx9iWpSHH5V49D3EZeQFjPrs,dragon,
pokemon/name,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,dudunsparce-three-segment,
pokemon/stat/attack,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,100,
pokemon/stat/defense,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,80,
pokemon/stat/hp,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,125,
pokemon/stat/special-attack,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,85,
pokemon/stat/special-defense,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,75,
pokemon/stat/speed,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,55,
pokemon/type/0,MtZjmsn7VHJSe4qQKFX2BnAy3j24j47NMBg2qYeEV9e,normal,
pokemon/name,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,walrein,
pokemon/stat/attack,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,80,
pokemon/stat/defense,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,90,
pokemon/stat/hp,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,110,
pokemon/stat/special-attack,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,95,
pokemon/stat/special-defense,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,90,
pokemon/stat/speed,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,65,
pokemon/type/0,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,ice,
pokemon/type/1,NUiLeeTyTrHUxe6kbhzhuGcXtYvtaDWcxUCMq8VerhQ,water,
pokemon/name,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,rillaboom-gmax,
pokemon/stat/attack,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,125,
pokemon/stat/defense,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,90,
pokemon/stat/hp,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,100,
pokemon/stat/special-attack,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,60,
pokemon/stat/special-defense,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,70,
pokemon/stat/speed,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,85,
pokemon/type/0,NWCxSSZR62LnYSVa6i1wUhYdudMPhyeRgSqc1AnNgoS,grass,
pokemon/name,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,pikachu-gmax,
pokemon/stat/attack,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,55,
pokemon/stat/defense,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,40,
pokemon/stat/hp,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,35,
pokemon/stat/special-attack,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,50,
pokemon/stat/special-defense,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,50,
pokemon/stat/speed,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,90,
pokemon/type/0,Nf7J7Yj6NNP6D8CidWoaPhrWchTziqvCTTKHjtkPomu,electric,
pokemon/name,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,celesteela,
pokemon/stat/attack,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,101,
pokemon/stat/defense,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,103,
pokemon/stat/hp,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,97,
pokemon/stat/special-attack,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,107,
